日期,白天天气,夜晚天气,最高温,最低温,白天风力,夜晚风力
2025年01月01日,晴,晴,4.0,-3.0,东北风 3-4级,东北风 3-4级
2025年01月02日,晴,晴,0.0,-3.0,北风 4-5级,西北风 4-5级
2025年01月03日,晴,晴,2.0,-3.0,西北风 3-4级,西南风 3-4级
2025年01月04日,晴,多云,6.0,0.0,西南风 4-5级,西南风 4-5级
2025年01月05日,多云,晴,5.0,-5.0,西北风 4-5级,北风 4-5级
2025年01月06日,晴,晴,-1.0,-5.0,西北风 4-5级,西北风 4-5级
2025年01月07日,多云,多云,0.0,-7.0,西北风 4-5级,北风 4-5级
2025年01月08日,多云,多云,-5.0,-10.0,北风 4-5级,北风 4-5级
2025年01月09日,多云,晴,-5.0,-11.0,北风 4-5级,北风 4-5级
2025年01月10日,晴,晴,-4.0,-7.0,北风 4-5级,北风 3-4级
2025年01月11日,多云,多云,1.0,-6.0,北风 3-4级,北风 3-4级
2025年01月12日,晴,多云,1.0,-5.0,西风 3-4级,西风 3-4级
2025年01月13日,晴,晴,4.0,-4.0,西南风 3-4级,北风 3-4级
2025年01月14日,多云,晴,0.0,-6.0,北风 4-5级,北风 4-5级
2025年01月15日,晴,晴,2.0,-6.0,北风 4-5级,西风 4-5级
2025年01月16日,晴,晴,4.0,-2.0,北风 4-5级,北风 3-4级
2025年01月17日,晴,晴,7.0,1.0,西南风 4-5级,西南风 3-4级
2025年01月18日,晴,晴,7.0,-1.0,西南风 4-5级,北风 3-4级
2025年01月19日,晴,晴,5.0,-1.0,北风 3-4级,北风 3-4级
2025年01月20日,晴,晴,7.0,0.0,西北风 3-4级,西南风 3-4级
,,,,,,
2025年01月21日,晴,晴,5.0,-2.0,北风 3-4级,北风 3-4级
2025年01月22日,晴,晴,4.0,-2.0,北风 1-3级,东北风 3-4级
2025年01月23日,晴,晴,5.0,0.0,东南风 3-4级,东南风 3-4级
2025年01月24日,晴,晴,6.0,-2.0,北风 3-4级,北风 3-4级
2025年01月25日,晴,多云,4.0,-1.0,北风 3-4级,北风 3-4级
2025年01月26日,小雪,中到大雪,3.0,-5.0,南风 3-4级,北风 5-6级
2025年01月27日,小雪,阴,-5.0,-7.0,西北风 5-6级,西北风 4-5级
2025年01月28日,多云,晴,-6.0,-9.0,西北风 4-5级,西北风 4-5级
2025年01月29日,晴,晴,-5.0,-9.0,西北风 3-4级,东北风 3-4级
2025年01月30日,小雪,小雪,-4.0,-8.0,东北风 3-4级,东北风 3-4级
2025年01月31日,阴,晴,-2.0,-9.0,东北风 3-4级,东北风 3-4级
2025年02月01日,晴,多云,-2.0,-8.0,北风 3-4级,北风 3-4级
2025年02月02日,雨夹雪,多云,0.0,-8.0,北风 4-5级,北风 4-5级
2025年02月03日,多云,多云,-6.0,-10.0,北风 4-5级,北风 3-4级
2025年02月04日,多云,多云,-6.0,-11.0,北风 4-5级,北风 4-5级
2025年02月05日,多云,多云,-1.0,-9.0,西北风 4-5级,西风 4-5级
2025年02月06日,小雪,小雪,0.0,-11.0,西北风 4-5级,西北风 5-6级
2025年02月07日,阵雪,多云,-6.0,-11.0,西北风 5-6级,西北风 4-5级
2025年02月08日,晴,晴,-5.0,-8.0,西北风 4-5级,西北风 3-4级
2025年02月09日,晴,晴,0.0,-7.0,西北风 3-4级,西北风 3-4级
2025年02月10日,晴,晴,5.0,-2.0,西南风 4-5级,西南风 4-5级
2025年02月11日,多云,雨夹雪,7.0,-2.0,南风 4-5级,北风 4-5级
2025年02月12日,多云,晴,1.0,-3.0,北风 4-5级,西南风 3-4级
2025年02月13日,晴,晴,7.0,2.0,西南风 4-5级,西风 3-4级
2025年02月14日,晴,多云,9.0,3.0,西南风 3-4级,西南风 3-4级
2025年02月15日,晴,晴,10.0,-2.0,西南风 3-4级,北风 4-5级
2025年02月16日,晴,晴,3.0,-3.0,北风 4-5级,北风 4-5级
2025年02月17日,晴,晴,1.0,-4.0,北风 4-5级,西北风 3-4级
